Date,District,Count
2021-06-01,Colombo,48303
2021-06-01,Gampaha,32207
2021-06-01,Kalutara,19189
2021-06-01,Kandy,9899
2021-06-01,Kurunagala,9234
2021-06-01,Galle,7603
2021-06-01,Ratnapura,7536
2021-06-01,Matara,4235
2021-06-01,Matale,3972
2021-06-01,Nuwara Eliya,3873
2021-06-01,Kegalle,3659
2021-06-01,Jaffna,3015
2021-06-01,Badulla,2927
2021-06-01,Puttalam,2674
2021-06-01,Anuradhapura,2503
2021-06-01,Hambantota,2324
2021-06-01,Trincomalee,2181
2021-06-01,Monaragala,1883
2021-06-01,Polonnaruwa,1595
2021-06-01,Ampara,1434
2021-06-01,Kalmunai,1401
2021-06-01,Batticaloa,1402
2021-06-01,Vavuniya,1002
2021-06-01,Mullaitivu,838
2021-06-01,Kilinochchi,848
2021-06-01,Mannar,550
2021-06-02,Colombo,48815
2021-06-02,Gampaha,32697
2021-06-02,Kalutara,19688
2021-06-02,Kandy,10166
2021-06-02,Kurunagala,9334
2021-06-02,Galle,7740
2021-06-02,Ratnapura,7686
2021-06-02,Matara,4298
2021-06-02,Matale,4077
2021-06-02,Nuwara Eliya,3879
2021-06-02,Kegalle,3690
2021-06-02,Jaffna,3077
2021-06-02,Badulla,2996
2021-06-02,Puttalam,2695
2021-06-02,Anuradhapura,2606
2021-06-02,Hambantota,2379
2021-06-02,Trincomalee,2207
2021-06-02,Monaragala,1940
2021-06-02,Polonnaruwa,1651
2021-06-02,Ampara,1442
2021-06-02,Kalmunai,1401
2021-06-02,Batticaloa,1426
2021-06-02,Vavuniya,1002
2021-06-02,Mullaitivu,838
2021-06-02,Kilinochchi,868
2021-06-02,Mannar,571
2021-06-03,Colombo,49187
2021-06-03,Gampaha,33035
2021-06-03,Kalutara,20039
2021-06-03,Kandy,10397
2021-06-03,Kurunagala,9610
2021-06-03,Galle,7856
2021-06-03,Ratnapura,7810
2021-06-03,Matara,4357
2021-06-03,Matale,4128
2021-06-03,Nuwara Eliya,4033
2021-06-03,Kegalle,3691
2021-06-03,Jaffna,3133
2021-06-03,Badulla,3109
2021-06-03,Puttalam,2779
2021-06-03,Anuradhapura,2616
2021-06-03,Hambantota,2382
2021-06-03,Trincomalee,2208
2021-06-03,Monaragala,2018
2021-06-03,Polonnaruwa,1678
2021-06-03,Ampara,1449
2021-06-03,Kalmunai,1401
2021-06-03,Batticaloa,1453
2021-06-03,Vavuniya,1002
2021-06-03,Mullaitivu,839
2021-06-03,Kilinochchi,868
2021-06-03,Mannar,571
2021-06-04,Colombo,49969
2021-06-04,Gampaha,33728
2021-06-04,Kalutara,20590
2021-06-04,Kandy,10445
2021-06-04,Kurunagala,9681
2021-06-04,Galle,8089
2021-06-04,Ratnapura,7881
2021-06-04,Matara,4486
2021-06-04,Matale,4168
2021-06-04,Nuwara Eliya,4255
2021-06-04,Kegalle,3709
2021-06-04,Jaffna,3265
2021-06-04,Badulla,3397
2021-06-04,Puttalam,2829
2021-06-04,Anuradhapura,2698
2021-06-04,Hambantota,2406
2021-06-04,Trincomalee,2237
2021-06-04,Monaragala,2029
2021-06-04,Polonnaruwa,1754
2021-06-04,Ampara,1452
2021-06-04,Kalmunai,1406
2021-06-04,Batticaloa,1463
2021-06-04,Vavuniya,1022
2021-06-04,Mullaitivu,857
2021-06-04,Kilinochchi,889
2021-06-04,Mannar,572
2021-06-05,Colombo,50759
2021-06-05,Gampaha,34146
2021-06-05,Kalutara,20932
2021-06-05,Kandy,10478
2021-06-05,Kurunagala,9796
2021-06-05,Galle,8427
2021-06-05,Ratnapura,8021
2021-06-05,Matara,4653
2021-06-05,Matale,4186
2021-06-05,Nuwara Eliya,4367
2021-06-05,Kegalle,3721
2021-06-05,Jaffna,3307
2021-06-05,Badulla,3460
2021-06-05,Puttalam,2919
2021-06-05,Anuradhapura,2797
2021-06-05,Hambantota,2492
2021-06-05,Trincomalee,2258
2021-06-05,Monaragala,2062
2021-06-05,Polonnaruwa,1780
2021-06-05,Ampara,1465
2021-06-05,Kalmunai,1407
2021-06-05,Batticaloa,1469
2021-06-05,Vavuniya,1031
2021-06-05,Mullaitivu,880
2021-06-05,Kilinochchi,953
2021-06-05,Mannar,574
2021-06-06,Colombo,51532
2021-06-06,Gampaha,34727
2021-06-06,Kalutara,21609
2021-06-06,Kandy,10577
2021-06-06,Kurunagala,10180
