Date,Vaccine,first dose,Second dose
2021-04-29,Covishield Vaccine,925242,3445
2021-04-29,Sinopharm Vaccine,2469,2435
2021-04-30,Covishield Vaccine,925242,22919
2021-04-30,Sinopharm Vaccine,2865,2435
2021-05-01,Covishield Vaccine,925242,60757
2021-05-01,Sinopharm Vaccine,2865,2435
2021-05-02,Covishield Vaccine,925242,85653
2021-05-02,Sinopharm Vaccine,2865,2435
2021-05-03,Covishield Vaccine,925242,94436
2021-05-03,Sinopharm Vaccine,2865,2435
2021-05-04,Covishield Vaccine,925242,117571
2021-05-04,Sinopharm Vaccine,2865,2435
2021-05-05,Covishield Vaccine,925242,139286
2021-05-05,Sinopharm Vaccine,2865,2435
2021-05-06,Covishield Vaccine,925242,157551
2021-05-06,Sinopharm Vaccine,2865,2435
2021-05-07,Covishield Vaccine,925242,174800
2021-05-07,Sinopharm Vaccine,2865,2435
2021-05-07,Sputnik V,669,0
2021-05-08,Covishield Vaccine,925242,187775
2021-05-08,Sinopharm Vaccine,2865,2435
2021-05-08,Sputnik V,1669,0
2021-05-09,Covishield Vaccine,925242,194905
2021-05-09,Sinopharm Vaccine,3158,2435
2021-05-09,Sputnik V,2996,0
2021-05-10,Covishield Vaccine,925242,196546
2021-05-10,Sinopharm Vaccine,6034,2435
2021-05-10,Sputnik V,4381,0
2021-05-11,Covishield Vaccine,925242,211518
2021-05-11,Sinopharm Vaccine,23575,2435
2021-05-11,Sputnik V,5878,0
2021-05-12,Covishield Vaccine,925242,221368
2021-05-12,Sinopharm Vaccine,71203,2435
2021-05-12,Sputnik V,11338,0
2021-05-13,Covishield Vaccine,925242,231557
2021-05-13,Sinopharm Vaccine,150606,2435
2021-05-13,Sputnik V,14673,0
2021-05-14,Covishield Vaccine,925242,241522
2021-05-14,Sinopharm Vaccine,214880,2435
2021-05-14,Sputnik V,14673,0
2021-05-15,Covishield Vaccine,925242,256004
2021-05-15,Sinopharm Vaccine,276762,2435
2021-05-15,Sputnik V,14673,0
2021-05-16,Covishield Vaccine,925242,265465
2021-05-16,Sinopharm Vaccine,348619,2435
2021-05-16,Sputnik V,14699,0
2021-05-17,Covishield Vaccine,925242,267077
2021-05-17,Sinopharm Vaccine,375316,2435
2021-05-17,Sputnik V,14699,0
2021-05-18,Covishield Vaccine,925242,292457
2021-05-18,Sinopharm Vaccine,424823,2435
2021-05-18,Sputnik V,14699,0
2021-05-19,Covishield Vaccine,925242,297686
2021-05-19,Sinopharm Vaccine,457840,2435
2021-05-19,Sputnik V,14917,0
2021-05-20,Covishield Vaccine,925242,304961
2021-05-20,Sinopharm Vaccine,474685,2435
2021-05-20,Sputnik V,14934,0
2021-05-21,Covishield Vaccine,925242,313699
2021-05-21,Sinopharm Vaccine,485373,2435
2021-05-21,Sputnik V,14941,0
2021-05-22,Covishield Vaccine,925242,320196
2021-05-22,Sinopharm Vaccine,501493,2435
2021-05-22,Sputnik V,14941,0
2021-05-23,Covishield Vaccine,925242,325796
2021-05-23,Sinopharm Vaccine,511905,2435
2021-05-23,Sputnik V,14984,0
2021-05-24,Covishield Vaccine,925242,330988
2021-05-24,Sinopharm Vaccine,514259,2435
2021-05-24,Sputnik V,14984,0
2021-05-25,Covishield Vaccine,925242,338493
2021-05-25,Sinopharm Vaccine,516259,2435
2021-05-25,Sputnik V,14984,0
2021-05-26,Covishield Vaccine,925242,340842
2021-05-26,Sinopharm Vaccine,517824,2435
2021-05-26,Sputnik V,14984,0
2021-05-27,Covishield Vaccine,925242,341541
2021-05-27,Sinopharm Vaccine,521470,2435
2021-05-27,Sputnik V,14984,0
2021-05-28,Covishield Vaccine,925242,341962
2021-05-28,Sinopharm Vaccine,563409,2435
2021-05-28,Sputnik V,14984,0
2021-05-29,Covishield Vaccine,925242,343293
2021-05-29,Sinopharm Vaccine,580031,2435
2021-05-29,Sputnik V,14984,0
2021-05-30,Covishield Vaccine,925242,343805
2021-05-30,Sinopharm Vaccine,601508,2435
2021-05-30,Sputnik V,14984,0
2021-05-31,Covishield Vaccine,925242,345789
2021-05-31,Sinopharm Vaccine,666612,2435
2021-05-31,Sputnik V,16664,0
2021-06-01,Covishield Vaccine,925242,347310
2021-06-01,Sinopharm Vaccine,739499,2435
2021-06-01,Sputnik V,26821,0
2021-06-02,Covishield Vaccine,925242,348582
2021-06-02,Sinopharm Vaccine,797205,2435
2021-06-02,Sputnik V,44189,0
2021-06-03,Covishield Vaccine,925242,350163
2021-06-03,Sinopharm Vaccine,846583,0
2021-06-03,Sputnik V,62703,0
2021-06-04,Covishield Vaccine,925242,350958
2021-06-04,Sinopharm Vaccine,891630,0
2021-06-04,Sputnik V,64986,0
2021-06-05,Covishield Vaccine,925242,351459
2021-06-05,Sinopharm Vaccine,930573,0
2021-06-05,Sputnik V,64986,0
2021-06-06,Covishield Vaccine,925242,353156
2021-06-06,Sinopharm Vaccine,953480,0
2021-06-06,Sputnik V,64986,0
2021-06-07,Covishield Vaccine,925242,353302
2021-06-07,Sinopharm Vaccine,957959,0
2021-06-07,Sputnik V,64986,0
2021-06-08,Covishield Vaccine,925242,353789
2021-06-08,Sinopharm Vaccine,989574,0
2021-06-08,Sputnik V,64986,0
2021-06-09,Covishield Vaccine,925242,353789
2021-06-09,Sinopharm Vaccine,1033028,166
2021-06-09,Sputnik V,64986,0
2021-06-10,Covishield Vaccine,925242,354651
2021-06-10,Sinopharm Vaccine,1099092,6994
2021-06-10,Sputnik V,64986,0
2021-06-11,Covishield Vaccine,925242,354993
2021-06-11,Sinopharm Vaccine,1166707,32445
2021-06-11,Sputnik V,64986,0
2021-06-12,Covishield Vaccine,925242,355177
2021-06-12,Sinopharm Vaccine,1209276,78025
2021-06-12,Sputnik V,64986,0
2021-06-13,Covishield Vaccine,925242,355358
2021-06-13,Sinopharm Vaccine,1269157,154640
2021-06-13,Sputnik V,64986,0
2021-06-14,Covishield Vaccine,925242,355412
2021-06-14,Sinopharm Vaccine,1295344,187372
2021-06-14,Sputnik V,64986,2114
2021-06-15,Covishield Vaccine,925242,355675
2021-06-15,Sinopharm Vaccine,1326784,253835
2021-06-15,Sputnik V,64986,3690
2021-06-16,Covishield Vaccine,925242,356232
2021-06-16,Sinopharm Vaccine,1360336,317431
2021-06-16,Sputnik V,64986,3690
2021-06-17,Covishield Vaccine,925242,356503
2021-06-17,Sinopharm Vaccine,1390126,339932
2021-06-17,Sputnik V,64986,6116
2021-06-18,Covishield Vaccine,925242,356610
2021-06-18,Sinopharm Vaccine,1401455,382972
2021-06-18,Sputnik V,64986,8991
2021-06-19,Covishield Vaccine,925242,357868
2021-06-19,Sinopharm Vaccine,1423874,417448
2021-06-19,Sputnik V,81695,11691
2021-06-20,Covishield Vaccine,925242,357868
2021-06-20,Sinopharm Vaccine,1434468,434083
2021-06-20,Sputnik V,95470,14301
2021-06-21,Covishield Vaccine,925242,372158
2021-06-21,Sinopharm Vaccine,1437112,442657
2021-06-21,Sputnik V,110453,14301
2021-06-22,Covishield Vaccine,925242,372290
2021-06-22,Sinopharm Vaccine,1443470,455592
2021-06-22,Sputnik V,113454,14301
2021-06-23,Covishield Vaccine,925242,372675
2021-06-23,Sinopharm Vaccine,1448601,470870
2021-06-23,Sputnik V,113454,14323
2021-06-24,Covishield Vaccine,925242,372719
2021-06-24,Sinopharm Vaccine,1461732,479750
2021-06-24,Sputnik V,113454,14323
2021-06-25,Covishield Vaccine,925242,372719
2021-06-25,Sinopharm Vaccine,1474958,483910
2021-06-25,Sputnik V,113454,14363
2021-06-26,Covishield Vaccine,925242,372719
2021-06-26,Sinopharm Vaccine,1502985,487893
2021-06-26,Sputnik V,114795,14363
2021-06-27,Covishield Vaccine,925242,372868
2021-06-27,Sinopharm Vaccine,1533780,492850
2021-06-27,Sputnik V,114795,14425
2021-06-28,Covishield Vaccine,925242,372899
2021-06-28,Sinopharm Vaccine,1565521,513195
2021-06-28,Sputnik V,114795,14425
2021-06-29,Covishield Vaccine,925242,374040
2021-06-29,Sinopharm Vaccine,1596487,551007
2021-06-29,Sputnik V,114795,14425
2021-06-30,Covishield Vaccine,925242,375784
2021-06-30,Sinopharm Vaccine,1657741,605116
2021-06-30,Sputnik V,114795,14425
2021-07-01,Covishield Vaccine,925242,378307
2021-07-01,Sinopharm Vaccine,1749500,684352
2021-07-01,Sputnik V,114795,14427
